date,equity
2024-09-04,1191629.9625753171
2024-09-05,1192482.1160662333
2024-09-06,1180601.5831825822
2024-09-09,1194495.1020234865
2024-09-10,1183811.4436569938
2024-09-11,1194597.6940869081
2024-09-12,1199599.4619402355
2024-09-13,1208133.547730607
2024-09-16,1205992.9312841657
2024-09-17,1208752.3272775172
2024-09-18,1213552.2373372363
2024-09-19,1230113.8672676994
2024-09-20,1221009.1841322978
2024-09-23,1210860.7677310482
2024-09-24,1203344.309898261
2024-09-25,1188419.518057717
2024-09-26,1179107.4628714402
2024-09-27,1188609.1027812625
2024-09-30,1169871.3702140716
2024-10-01,1176593.5911068264
2024-10-02,1175042.3869101317
2024-10-03,1192338.170147854
2024-10-04,1197164.7420315375
2024-10-07,1186385.9589715097
2024-10-08,1199345.58363155
2024-10-09,1219816.5545275207
2024-10-10,1229637.123413524
2024-10-14,1234979.9617869551
2024-10-15,1236609.0387598686
2024-10-16,1217117.1194563038
2024-10-17,1224578.4832078982
2024-10-18,1229222.6014717007
2024-10-21,1231804.1820038455
2024-10-22,1227665.972561453
2024-10-23,1224480.8421395896
2024-10-24,1255891.732233377
2024-10-25,1275613.1409422946
2024-10-28,1278508.126261279
2024-10-29,1290518.8023280003
2024-10-30,1283558.4257471913
2024-10-31,1289702.0796373032
2024-11-01,1292116.520810368
2024-11-04,1296605.455854353
2024-11-05,1314140.7949722493
2024-11-06,1335304.6989052664
2024-11-07,1352659.4096043622
2024-11-08,1341764.7918673975
2024-11-11,1341328.7357442323
2024-11-12,1359052.8702066762
2024-11-13,1377411.3281052501
2024-11-14,1388906.55426352
2024-11-15,1403965.687828849
2024-11-19,1449397.1854837735
2024-11-20,1466491.0857534914
2024-11-21,1442161.3634775502
2024-11-22,1461084.456256033
2024-11-25,1468778.931666737
2024-11-26,1481348.2026293692
2024-11-27,1475153.6712195196
2024-11-28,1486302.9647171735
2024-11-29,1486635.8154738145
2024-12-02,1517319.2386849967
2024-12-03,1525667.1811096282
2024-12-04,1494256.194951209
2024-12-05,1514966.6572043244
2024-12-06,1529785.6695489823
2024-12-09,1532882.0689439143
2024-12-10,1538336.838568779
2024-12-11,1593966.2495160203
2024-12-12,1585406.2967140786
2024-12-13,1609610.6724906825
2024-12-16,1655563.1468567515
