ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl
METR,2019-01-25,0.8296556985870253,2019-02-22,0.7217011185896246,LONG,108680,-11732.503754117504
BYMA,2019-01-10,0.08990225449719888,2019-02-26,0.08512077516336686,LONG,1231089,-5886.426611607931
BBAR,2019-01-10,3.1282684848136153,2019-02-28,2.7978706297475284,LONG,30146,-9960.173738822255
LOMA,2018-11-02,1.7372229642856734,2019-03-01,1.862298899076062,LONG,44387,5551.745517540983
EDN,2018-11-20,1.2716545282511258,2019-03-01,1.322083928056727,LONG,71783,3619.973606245466
CRES,2019-01-02,0.8231503331865214,2019-03-01,0.8333760770630135,LONG,116971,1196.1154869771588
PAMP,2019-01-11,1.4754136957551125,2019-03-06,1.2125806908809404,LONG,66642,-17515.717110824575
YPFD,2019-01-22,16.2871122568592,2019-03-06,12.71711612432973,LONG,6151,-21959.04621118877
ALUA,2019-01-14,0.4651962620156725,2019-03-07,0.3939893457720771,LONG,247695,-17637.597118957357
TXAR,2019-01-16,0.32018731561255753,2019-03-07,0.2684746898541207,LONG,341659,-17668.08400400177
YPFD,2019-03-06,12.865519026815218,2019-03-07,12.140784766438005,LONG,8972,-6502.315784104354
GGAL,2018-11-13,1.7899445127273135,2019-03-08,1.9556102332451222,LONG,47382,7849.573169574812
TRAN,2018-12-12,0.8032786966562623,2019-03-08,0.8977614091127207,LONG,106656,10077.148179756032
SUPV,2019-01-09,1.5060092553550368,2019-03-08,1.307634900423854,LONG,62324,-12363.483296731032
BMA,2019-01-09,3.6863303079914664,2019-03-11,3.537852471047043,LONG,27718,-4115.508684425525
CEPU,2019-01-15,1.0152422920515531,2019-03-14,0.9414615063436595,LONG,108150,-7979.391974308692
TGNO4,2018-12-18,1.1006582193893784,2019-03-20,1.2252465652796043,LONG,80749,10060.384342289854
VALO,2019-01-16,0.11719822264575787,2019-03-28,0.11128188161908316,LONG,1055360,-6243.869665911421
LOMA,2019-03-20,2.171539107444746,2019-03-29,1.948118729177731,LONG,47467,-10605.0950952004
YPFD,2019-04-24,14.283641493710181,2019-04-25,13.970137192086783,LONG,9278,-2908.692910461889
COME,2019-06-19,0.013024774301878915,2019-08-02,0.012222734654226897,LONG,9446097,-7576.144309566785
CRES,2019-06-27,0.7004742056167745,2019-08-05,0.6866790675518382,LONG,108198,-1492.6063483499859
EDN,2019-06-25,0.9596440878761631,2019-08-06,0.8973195881574765,LONG,96071,-5987.577012473939
YPFD,2019-05-16,15.262492862618757,2019-08-07,15.765301797878502,LONG,7182,3611.1737730354894
TGNO4,2019-05-20,1.1955764235664588,2019-08-12,0.7913248714975187,LONG,63657,-25733.441050052515
TGSU2,2019-05-29,2.3958430623048397,2019-08-12,1.8313958088738425,LONG,45643,-25763.065988351005
GGAL,2019-05-30,1.9605630567035615,2019-08-12,1.398973344809257,LONG,45976,-25819.648594052545
BBAR,2019-06-03,2.2911882382972966,2019-08-12,1.649389770061652,LONG,40145,-25764.99950731995
VALO,2019-06-03,0.12209214480752704,2019-08-12,0.09736628937631885,LONG,1040725,-25732.815893644154
PAMP,2019-06-06,1.1145395740771737,2019-08-12,0.8394863898150218,LONG,95196,-26183.96292901982
SUPV,2019-06-10,1.0492976163580268,2019-08-12,0.7509920201912572,LONG,88247,-26324.573944928914
TRAN,2019-06-11,0.777621880134758,2019-08-12,0.595597486031687,LONG,149168,-27152.21481956688
BYMA,2019-06-18,0.07779158806994789,2019-08-12,0.056326818593044406,LONG,1296982,-27839.419645693233
LOMA,2019-06-18,1.9670442314817689,2019-08-12,1.3996245218230925,LONG,49104,-27862.577423079645
ALUA,2019-06-19,0.35167036335773394,2019-08-12,0.27619341139800235,LONG,365570,-27592.109327919075
CEPU,2019-06-21,0.8341176351703335,2019-08-12,0.6019150440972626,LONG,119533,-27755.87231873739
METR,2019-06-21,0.5063202795155077,2019-08-12,0.3482552392591221,LONG,175607,-27757.32752430311
TXAR,2019-06-26,0.2627963128296552,2019-08-12,0.19408725337859217,LONG,320442,-22017.268428617543
ALUA,2019-08-12,0.24882821042423928,2019-08-13,0.23532943415833504,LONG,231545,-3125.5741504887956
CEPU,2019-08-12,0.549733059887609,2019-08-13,0.3857399584838531,LONG,95914,-15729.234328039842
METR,2019-08-12,0.2589511008272906,2019-08-13,0.2011704223839823,LONG,118382,-6840.192275475724
BBAR,2019-08-12,1.793405259516219,2019-08-14,1.4545043879484398,LONG,28401,-9625.123653396498
BYMA,2019-08-12,0.04160122844135741,2019-08-14,0.033708942337066373,LONG,1098806,-8672.09132511162
LOMA,2019-08-12,1.2662408417219957,2019-08-14,1.004832800716796,LONG,36706,-9595.243553136863
PAMP,2019-08-12,0.7213637808760239,2019-08-14,0.6439977741732335,LONG,58028,-4489.394636949526
SUPV,2019-08-12,0.7516883469370551,2019-08-14,0.5899825079097756,LONG,52329,-8461.90485045851
TGNO4,2019-08-12,0.8467917487470431,2019-08-14,0.6647353716411027,LONG,55121,-10035.12956245654
TRAN,2019-08-12,0.5540317547731806,2019-08-14,0.33244888832721053,LONG,93865,-20798.875758950977
TXAR,2019-08-12,0.1695838103542254,2019-08-14,0.16791196167791214,LONG,291517,-487.3723105728123
VALO,2019-08-12,0.08846541508921917,2019-08-14,0.08630090361496733,LONG,438648,-949.4586291576212
BMA,2019-05-22,3.70513685009774,2019-08-15,3.0164917437491114,LONG,21739,-14970.45596691284
GGAL,2019-08-12,1.4417744373092434,2019-08-15,1.3415231472804696,LONG,30296,-3037.21308271173
TGSU2,2019-08-12,1.703159605130423,2019-08-15,1.7388178840550095,LONG,29969,1068.642961090933
ALUA,2019-10-30,0.343856793196416,2020-01-14,0.33193676076214734,LONG,188694,-2249.238600151888
PAMP,2019-12-27,0.6863695917712432,2020-01-23,0.5912727049039498,LONG,106301,-10108.894170880161
TXAR,2019-10-11,0.21217470384052411,2020-01-24,0.25317718606793604,LONG,339801,13932.684463356802
TGSU2,2020-01-07,1.352699067332114,2020-01-27,1.173171490342486,LONG,52420,-9410.835585796303
BYMA,2019-11-13,0.03221148705596104,2020-01-28,0.030808973621921913,LONG,1661731,-2330.6000512592695
YPFD,2019-11-06,10.071909441751451,2020-01-30,9.741058986426427,LONG,7259,-2401.6434552043474
CEPU,2019-11-11,0.3355056253566294,2020-01-30,0.3887617600474206,LONG,164487,8759.941826884165
TGNO4,2020-01-13,0.44361800831994375,2020-01-31,0.3956438937448195,LONG,147561,-7079.108320819908
EDN,2019-12-30,0.3396729074857132,2020-02-06,0.27044050010579085,LONG,184101,-12745.755431051088
CRES,2019-12-05,0.3809310375659559,2020-02-07,0.37253749841027023,LONG,142335,-1194.694395724523
SUPV,2019-12-18,0.5455659213311637,2020-02-07,0.5365255496199963,LONG,118686,-1072.9655569116067
LOMA,2019-11-01,1.0653956866089616,2020-02-14,1.1209200566615027,LONG,54213,3010.1426736584153
BBAR,2019-12-13,1.1421334686946625,2020-02-17,1.101594787642085,LONG,57453,-2329.06884251373
GGAL,2019-11-26,1.022382833010536,2020-02-18,1.0665623560976885,LONG,57024,2519.2931245217815
VALO,2019-10-30,0.10222349488795597,2020-02-19,0.1529295329492891,LONG,772905,39190.95034779468
TRAN,2019-12-10,0.28166142695525115,2020-02-19,0.28355771515504186,LONG,217179,411.8339749423461
METR,2019-12-26,0.2079308492439924,2020-02-27,0.20453991605956937,LONG,367692,-1246.8190044468784
COME,2019-11-13,0.006705386629128848,2020-02-28,0.007956662174175087,LONG,7006992,8767.67773393464
BMA,2019-11-29,2.042344755299914,2020-03-02,2.3082478561620623,LONG,31686,8425.405653918027
VALO,2020-03-06,0.1555029016132247,2020-03-10,0.1389892581989878,LONG,479264,-7914.394797280828
PAMP,2020-05-22,0.49693197349693813,2020-06-26,0.4529444929434017,LONG,110293,-4851.51119269119
CRES,2020-06-03,0.2667057942415769,2020-07-01,0.21205676866170872,LONG,195469,-10682.190381071257
TRAN,2020-05-20,0.2121486748762169,2020-07-02,0.1829678199936314,LONG,267518,-7806.4039364795035
CEPU,2020-05-22,0.30956137021436103,2020-07-03,0.24634188033342838,LONG,168577,-10657.351945657983
TRAN,2020-07-15,0.2180799065871603,2020-08-03,0.1877180602178494,LONG,286031,-8684.42927886037
METR,2020-06-04,0.1667067783629564,2020-08-12,0.15815314337819078,LONG,373006,-3190.5571711274797
CEPU,2020-07-07,0.27957843395581167,2020-08-13,0.2621309658332179,LONG,165781,-2892.458712831721
CRES,2020-07-20,0.2566381225803604,2020-08-19,0.2386751984839811,LONG,222025,-3988.218222498611
BBAR,2020-05-20,0.8841990914555377,2020-08-20,0.8488156512134124,LONG,50790,-1797.1249298975415
