date,equity
2017-11-01,1176422.2280848003
2017-11-02,1172939.9208535599
2017-11-03,1165795.1223746254
2017-11-07,1164523.4826472863
2017-11-08,1185914.9311283878
2017-11-09,1177313.2360196982
2017-11-10,1144648.987652317
2017-11-13,1136510.700396686
2017-11-14,1115816.0243668768
2017-11-15,1129418.874716843
2017-11-16,1159693.542619368
2017-11-17,1148813.8112964346
2017-11-21,1162205.6203690867
2017-11-22,1177314.7104387719
2017-11-23,1178517.2837280864
2017-11-24,1188433.815706384
2017-11-28,1161975.0778782414
2017-11-29,1164757.2850789442
2017-11-30,1160202.6162178766
2017-12-01,1171766.7679101482
2017-12-04,1154536.2559279515
2017-12-05,1156571.472945902
2017-12-06,1162011.6017899092
2017-12-07,1190885.1020198925
2017-12-11,1209824.758301348
2017-12-12,1213363.0679088156
2017-12-13,1207343.763760901
2017-12-14,1192894.8110629271
2017-12-15,1193365.6148077995
2017-12-18,1185411.8027231367
2017-12-19,1196002.2522104974
2017-12-20,1210118.3387461114
2017-12-21,1215190.4959625616
2017-12-22,1232265.8891044315
2017-12-26,1223460.2042641456
2017-12-27,1218947.9764530112
2017-12-28,1213326.688354107
2018-01-01,1212636.522319464
2018-01-02,1263812.275192466
2018-01-03,1275951.4076489015
2018-01-04,1281149.8040721612
2018-01-05,1276228.982382807
2018-01-08,1261844.1874628828
2018-01-09,1270521.041934083
2018-01-10,1267463.1111545097
2018-01-11,1278790.0496059458
2018-01-12,1293921.4535851404
2018-01-15,1330253.4916308
2018-01-16,1319831.198475943
2018-01-17,1330978.489990917
2018-01-18,1338957.2437322743
2018-01-19,1333920.318219947
2018-01-22,1320142.0400840936
2018-01-23,1321438.8255944946
2018-01-24,1321910.1183112555
2018-01-25,1328504.2437442557
2018-01-26,1333269.9589462793
2018-01-29,1323855.8525132106
2018-01-30,1323081.368030035
2018-01-31,1367541.700128589
2018-02-01,1338423.0245990485
2018-02-02,1269192.5320164294
2018-02-05,1210486.4687497513
2018-02-06,1226957.4919452197
2018-02-07,1235634.8727165977
2018-02-08,1185167.9490190877
2018-02-09,1171594.1156779807
2018-02-14,1237866.8720418853
2018-02-15,1261421.2392385995
2018-02-16,1262408.2444501375
2018-02-19,1274152.090170885
2018-02-20,1259883.6562096882
2018-02-21,1261677.3273142872
2018-02-22,1264667.7958149854
2018-02-23,1240212.7351764888
2018-02-26,1236338.8142397767
2018-02-27,1212466.0588947171
2018-02-28,1214885.8128497354
2018-03-01,1195611.7344792415
2018-03-02,1197481.4903631988
2018-03-05,1202090.9384175772
2018-03-06,1208979.4087282957
2018-03-07,1213097.3744929647
2018-03-08,1212087.0257951343
2018-03-09,1226940.8217887725
2018-03-12,1243853.889693675
2018-03-13,1235258.5058324807
2018-03-14,1234263.5794879026
2018-03-15,1226485.4407855005
2018-03-16,1217968.674995214
2018-03-19,1195244.2260088986
2018-03-20,1188097.2613996647
2018-03-21,1206465.8288561297
2018-03-22,1200890.8273766194
2018-03-23,1188077.829581338
2018-03-26,1200346.1875760034
2018-03-27,1196132.6692656055
2018-03-28,1194969.2405816275
2018-04-03,1207192.1775150786
2018-04-04,1206950.7025270285
2018-04-05,1210744.5109150293
2018-04-06,1205671.5326683903
2018-04-09,1207705.718695069
2018-04-10,1217636.5946879974
2018-04-11,1217063.7648553476
2018-04-12,1211542.6388398223
2018-04-13,1199519.2518547045
2018-04-16,1185076.2286518426
2018-04-17,1195294.227355768
2018-04-18,1200019.9530021488
2018-04-19,1185808.4043744244
2018-04-20,1182114.4698063736
2018-04-23,1173633.6165421489
2018-04-24,1162228.1549707484
2018-04-25,1141141.9539618907
2018-04-26,1105501.5467322124
2018-04-27,1127566.4830606584
2018-05-02,1090049.7285432327
