ticker,entry_date,entry_price,exit_date,exit_price,side,shares,pnl_gross,commission_entry,commission_exit,pnl
TGSU2,2021-08-31,1.101293236545509,2021-09-07,1.0305333306379136,LONG,23736,-1679.5571266226843,143.7716294445431,134.53406524811834,-1957.8628213153459
CRES,2021-01-18,0.4181569171561179,2021-11-16,0.368510622761352,LONG,48632,-2414.3985890062563,111.8469395732498,98.56774733371537,-2624.813275913222
BYMA,2020-08-10,0.03900308296429619,2021-11-30,0.0390264273545553,LONG,640283,14.947016228270105,137.35156033295652,137.433768922212,-259.83831302689845
YPFD,2021-07-29,4.431707903692739,2021-11-30,3.42064764027609,LONG,7253,-7333.2200905609525,176.7874758401589,136.45476534207364,-7646.462331743185
TGSU2,2021-10-15,1.0750167229452914,2021-11-30,0.8055939998204176,LONG,24134,-6502.247999895704,142.69449475358914,106.93213075416277,-6751.874625403457
YPFD,2021-11-30,3.4744708921472305,2021-12-06,4.147183170073141,LONG,5858,3940.7485240899864,111.94397767409161,133.61809455658653,3695.1864518593084
LOMA,2020-12-30,1.133539012631312,2022-01-14,1.1807821692679454,LONG,22221,1049.79018362263,138.5360371982421,144.30988320816658,766.9442632162213
BMA,2021-08-06,1.1123570411516754,2022-01-20,1.0722697460259942,LONG,31177,-1249.801600133363,190.7397550959218,183.86584629518833,-1624.407201524473
TGSU2,2021-11-30,0.8229674611279514,2022-01-25,0.8383491952287156,LONG,18811,289.3458001694766,85.14462501202841,86.73602691296053,117.46514824448765
SUPV,2021-08-04,0.37569799935094095,2022-01-31,0.3639754558236107,LONG,77776,-911.7325453816387,160.7115817863533,155.69705278675428,-1228.1411799547463
BBAR,2021-07-13,0.8392344820845885,2022-02-01,0.8497608557473232,LONG,29995,315.7385780137267,138.45061059569977,140.18717277477526,37.100794643251646
YPFD,2022-04-19,5.277451042984253,2022-05-06,4.157155238378976,LONG,6079,-6810.27819619548,176.448936896657,138.99240681758184,-7125.719539909718
GGAL,2021-07-21,0.6336342444248978,2022-06-16,0.5899549574138095,LONG,49339,-2155.0923418400835,171.94583992124018,160.09283204111972,-2487.1310138024437
TGSU2,2022-03-09,1.3381181430834712,2022-06-24,1.0072641410172114,LONG,25657,-8488.721131014028,188.82653458400938,142.13856836343226,-8819.68623396147
YPFD,2022-05-06,4.183744672195858,2022-06-28,3.5087478854757745,LONG,6106,-4121.53037971283,140.50269732635348,117.83428023793294,-4379.867357277117
BMA,2022-05-23,1.246804849295341,2022-06-28,0.9563042709482757,LONG,22694,-6592.620125008298,155.62244087449656,119.36303018695094,-6867.605596069745
VALO,2022-03-16,0.1677573205641469,2022-06-30,0.13391243415019005,LONG,226060,-7650.975022739088,208.57770937702077,166.4973467519558,-8026.050078868065
EDN,2021-06-30,0.2364908408716168,2022-07-01,0.21930399446444232,LONG,65950,-1133.472520553156,85.7811402551572,79.54704139211483,-1298.800702200428
TRAN,2021-08-11,0.16464411357698303,2022-07-04,0.18863939155947296,LONG,176518,4235.598478913158,159.84457302210038,183.14036465612276,3892.613541234935
