slow,fast_index,net_profit,cagr,sharpe,max_drawdown,pct_profitable,avg_win_loss,profit_factor,trades_count,final_equity
120,0.5,74559.9336424552,0.007218031226033261,0.13650572176703052,-0.6420075070558225,29.652996845425868,2.511056288742162,1.0584721575863822,317,1074559.933642455
140,0.2,537570.9850469588,0.04396532870204872,0.3052971388056332,-0.5654750306071148,34.86590038314176,2.7343064880637478,1.4636581789047123,261,1537570.9850469586
140,0.25,441494.64256032667,0.037250081423821246,0.27520044821490885,-0.5929655359794191,33.984375,2.7030460667734983,1.3915089219484873,256,1441494.6425603272
140,0.3,416996.3183774372,0.035473394511291945,0.26690630351243866,-0.6052929642091596,35.63218390804598,2.4746612889338806,1.369901784945541,261,1416996.318377438
140,0.35,488905.60218397883,0.040612607207227924,0.28840342161130456,-0.6143043753783457,33.87096774193548,2.777353533010865,1.4225469315421504,248,1488905.6021839809
140,0.4,523983.21904953395,0.04303894325719315,0.2982904772196181,-0.604159657826892,35.019455252918284,2.663807980692847,1.4355851392955463,257,1523983.2190495324
140,0.45,619119.8638576472,0.049375125334629066,0.32538076516655345,-0.5843186114572266,35.87786259541985,2.6699850683070125,1.4939202167908283,262,1619119.863857647
140,0.5,612800.6794202542,0.04896479256430486,0.32220416866578927,-0.5992177148719091,34.962406015037594,2.760068182005771,1.4837360747198653,266,1612800.6794202533
160,0.2,730339.4659362707,0.05637080877573375,0.34704991641293914,-0.5217924881364524,35.064935064935064,3.1454407279057315,1.698537993069095,231,1730339.465936271
160,0.25,664373.0612289688,0.052272200108481215,0.32928495043138994,-0.5427748098818017,34.33476394849785,3.1493833487817544,1.6467363915198716,233,1664373.0612289687
160,0.3,701316.3151951989,0.05458518596083728,0.33844592646543703,-0.5365052804031527,38.028169014084504,2.7815733736027597,1.7068745701653298,213,1701316.3151951986
160,0.35,875376.017897164,0.06490918936777579,0.37748413609591197,-0.5337066930563791,38.028169014084504,2.9984851991009696,1.8399795539937767,213,1875376.0178971638
160,0.4,1159364.0791112601,0.08003334609358803,0.43604394212559955,-0.5032942780826627,41.06280193236715,3.0450761016871914,2.1215694151099287,207,2159364.079111261
160,0.45,1298025.3259143368,0.08677697438348164,0.46111336176719375,-0.5016403285921187,44.33497536945813,2.884155509823719,2.297115007824201,203,2298025.3259143364
160,0.5,1492101.6828913072,0.09562518123761254,0.4933227143713277,-0.46132968329111557,44.390243902439025,3.14410427318957,2.5097674461425514,205,2492101.6828913083
180,0.2,277580.76017231686,0.024802775302342983,0.22832767396019898,-0.5084908679774399,33.94495412844037,2.6803612924809097,1.3774078864138006,218,1277580.760172317
180,0.25,277952.4043384129,0.024832586667380863,0.22780593671411803,-0.5338614808433833,38.19095477386934,2.3072358181731603,1.4256091234240664,199,1277952.404338413
180,0.3,438880.74966578523,0.03706181523625962,0.2889758884296762,-0.4938484214915537,39.0625,2.62822533670921,1.6847598312238525,192,1438880.7496657858
180,0.35,680181.1028910098,0.053267527453555896,0.371030724631303,-0.4790684834116747,45.05494505494506,2.5451432994382186,2.087017505539339,182,1680181.1028910093
180,0.4,883452.1464712142,0.06536695878434351,0.4189825968230659,-0.4484916212851307,43.27485380116959,3.2470017611832382,2.477094127088244,171,1883452.146471214
180,0.45,979634.7692664992,0.07068709432163733,0.4435455556468014,-0.43323593881424016,47.701149425287355,2.7815998058220033,2.537063559156333,174,1979634.7692664992
180,0.5,1185371.3837730843,0.08132731499882784,0.48107085282749884,-0.44885323436422425,50.847457627118644,2.9076894409739213,3.007954594110953,177,2185371.3837730847
200,0.2,213773.19999746134,0.019564971622355376,0.200943170344177,-0.49974532773648644,38.97435897435898,2.1453735255482034,1.3701545205181802,195,1213773.1999974626
200,0.25,315853.71786094375,0.027832612047020477,0.2430848597562688,-0.49216756691624186,41.08108108108108,2.2514294915678663,1.5698040491665857,185,1315853.7178609436
200,0.3,533221.7015559205,0.0436696081432244,0.3200430345915769,-0.45544386385512836,43.859649122807014,2.510331696439168,1.9611966378431,171,1533221.7015559212
200,0.35,766478.0813997646,0.05855690275641301,0.38671195484341203,-0.4285702607863303,42.68292682926829,3.2935067231016384,2.452611389543773,164,1766478.081399765
200,0.4,864874.0038324161,0.0643112554702816,0.4075074637677732,-0.4580025849271203,48.34437086092716,3.0238440178335706,2.830007862844239,151,1864874.0038324161
200,0.45,1034526.4401681172,0.0736199106287152,0.4441893219007088,-0.45370133265931967,47.91666666666667,3.4073148253899355,3.1347296393587407,144,2034526.440168117
200,0.5,1395287.1972610387,0.09129195388433953,0.5072362028252277,-0.4475162517928304,50.35971223021583,4.228143312809314,4.28942075212539,139,2395287.1972610382
220,0.2,140721.74101063755,0.013254998259613737,0.1684077660324329,-0.4992884175072973,39.037433155080215,1.9352819437625324,1.239259490304078,187,1140721.7410106373
220,0.25,328696.37810006505,0.02883152905237285,0.2468625774238253,-0.47032631357565186,44.31818181818182,2.016240327529631,1.604762709666441,176,1328696.3781000655
220,0.3,500546.596436381,0.04142347180818362,0.30639344440285815,-0.46809046094799084,40.993788819875775,2.9333929073656058,2.0379361251171577,161,1500546.5964363809
220,0.35,477147.5433448442,0.0397877755257352,0.2963186315812274,-0.4893761076930035,40.0,2.8358309276649076,1.890553951776605,160,1477147.5433448441
220,0.4,760483.7617345109,0.05819709593171196,0.3773347906000713,-0.46522484849756685,42.465753424657535,3.5238681007536155,2.600950264841954,146,1760483.7617345115
220,0.45,983288.2111300388,0.07088455415005979,0.423614963123729,-0.4682583471896333,45.32374100719424,3.8099205590452643,3.1582236213138377,139,1983288.2111300393
220,0.5,1191255.212865976,0.08161813604717261,0.46184202854270856,-0.46649629144172416,47.794117647058826,3.9073717701558768,3.5771713388750985,136,2191255.2128659757
240,0.2,422434.8183491273,0.03587018377628093,0.28170926665757917,-0.46748279964238904,40.7185628742515,2.6072158398975214,1.7908149203336512,167,1422434.8183491267
240,0.25,503404.4762286544,0.041621674419000554,0.3054188691007718,-0.4765221365246332,41.77215189873418,2.826002096843239,2.027349330344063,158,1503404.4762286542
240,0.3,543507.8638337019,0.04436778166721189,0.3184133067465533,-0.47894488711032707,40.54054054054054,3.1121050126947565,2.1218897813827886,148,1543507.8638337017
240,0.35,814734.1048706974,0.06141407796598797,0.3853152866940546,-0.47025634987542975,43.53741496598639,3.5172598226038496,2.7121039595981493,147,1814734.1048706975
240,0.4,960008.0575842048,0.06962067026715313,0.4169999252706099,-0.48967490245167244,43.28358208955223,4.064058627433729,3.1015184261994246,134,1960008.0575842038
240,0.45,1132780.6546665684,0.07869613570035794,0.4479194155298778,-0.4802972465837513,45.038167938931295,4.147784050917854,3.398878597279908,131,2132780.654666567
240,0.5,1002784.4877916474,0.07193277911524576,0.4206963188684787,-0.479583585108815,46.15384615384615,3.5828184671759655,3.070987257579399,130,2002784.4877916477
260,0.2,527461.8117850784,0.04327681218474044,0.3133739114115831,-0.4584222954214105,38.15789473684211,3.3605724159897066,2.073544682206415,152,1527461.8117850786
260,0.25,650387.5807710856,0.05138450854218868,0.33920121563087446,-0.47654324361604145,35.714285714285715,4.141528947477759,2.3008494152654215,140,1650387.5807710858
260,0.3,660513.0330215121,0.05202786772880752,0.34233917172705036,-0.4881445487847967,37.95620437956204,3.9376627161494824,2.408923073409095,137,1660513.033021512
260,0.35,917958.1544927431,0.06730313515394837,0.4015364172620605,-0.4705974978372585,40.0,4.534891277346639,3.0232608515644257,125,1917958.1544927433
260,0.4,903130.4830706585,0.06647500858642585,0.39947388952886853,-0.47834623022109307,46.400000000000006,3.6505736740863273,3.1601981059254776,125,1903130.4830706578
260,0.45,890537.4597967678,0.06576711456419293,0.3950570004308774,-0.49611427653938805,44.18604651162791,3.6904649688400317,2.9216181003316914,129,1890537.4597967681
260,0.5,841322.9938724104,0.06295927940296542,0.37998740732724534,-0.49063424302968867,44.44444444444444,3.6291964048364957,2.9033571238691964,126,1841322.993872411
280,0.2,840714.1851568024,0.06292412403946934,0.3879512297193407,-0.4720063645657693,41.35338345864661,4.3019967527143885,3.0334592487088634,133,1840714.185156803
280,0.25,685351.6126798581,0.05359125135684173,0.3469314509326463,-0.505121423344187,39.55223880597015,3.858942910885302,2.5249873367521114,134,1685351.6126798573
280,0.3,786579.7633897132,0.059755530093581255,0.3688863029938387,-0.5006796801210777,43.08943089430895,3.739353507885302,2.831224798827443,123,1786579.7633897136
280,0.35,1049011.1992113914,0.0743819380890689,0.4274366362279284,-0.48513015407368676,41.44144144144144,5.379563616580887,3.807075790195705,111,2049011.1992113923
280,0.4,1110517.9978897434,0.07756467862457184,0.4372335026389497,-0.49413019943249126,41.509433962264154,5.9238738359881085,4.204039496507689,106,2110517.997889744
280,0.45,949050.0896837864,0.06902107732030971,0.4015649354477482,-0.505348504341597,40.54054054054054,5.2346875184260035,3.569105126199548,111,1949050.0896837858
280,0.5,752543.8009623808,0.05771880142943364,0.3549148084356015,-0.5193424427177652,38.52459016393443,4.5221723451648845,2.8338946696366607,122,1752543.800962383
300,0.2,681624.6311683881,0.053357996394439056,0.3452464530220699,-0.49464839558354373,35.38461538461539,4.715921029566703,2.5825281828579567,130,1681624.6311683878
300,0.25,832740.580685678,0.06246272348500126,0.3754898900151571,-0.49589489438107004,37.301587301587304,4.66562410919273,2.7757510523045354,126,1832740.5806856782
300,0.3,1078054.0801529826,0.07589535777478762,0.4281629225504017,-0.4792373072030416,41.81818181818181,5.367414498620562,3.8578291708835284,110,2078054.0801529826
300,0.35,1096826.7491155255,0.07686350114835916,0.43421786708928106,-0.48079201729768134,42.0,5.8553917048447675,4.240111234542763,100,2096826.7491155255
300,0.4,1072845.9755905105,0.0756253709109036,0.42320855703097005,-0.49996607675125404,42.45283018867924,5.364326067657271,3.957289722042249,106,2072845.9755905108
300,0.45,896953.7324803093,0.06612832222124587,0.38824874081275945,-0.5073265143956077,44.54545454545455,4.198427340020958,3.3725072075578186,110,1896953.7324803087
300,0.5,691743.2491862205,0.05399019646547987,0.34404557377544936,-0.5088302997593062,40.33613445378151,4.000907290640466,2.7048387317005966,119,1691743.2491862208
